datetime,measured_surface,measured_surface_total_mean
2023-07-04 15:17:04,-4311978.971151588,-374.6329594999349
2023-07-04 15:17:25,-4326404.520409524,-375.2567530094208
2023-07-04 15:17:45,-4329497.667083334,-375.3427930538609
2023-07-04 15:18:06,-4342275.778719048,-375.5415796647072
2023-07-04 15:18:26,-4336693.205257936,-375.44864463242345
2023-07-04 15:18:47,-4332672.3274428565,-375.50079648710926
2023-07-04 15:19:08,-4317848.027482936,-375.40116380960666
2023-07-04 15:19:28,-4320198.149904762,-375.59435703380586
2023-07-04 15:19:48,-4326530.42215873,-375.9011057776226
2023-07-04 15:20:09,-4330778.619898412,-375.6370967179532
2023-07-04 15:20:29,-4335079.938406349,-375.8015907324104
2023-07-04 15:20:51,-4341450.852,-376.00967903395167
2023-07-04 15:21:12,-4338452.470026587,-375.8145738457503
2023-07-04 15:21:32,-4340318.469856277,-375.5994260626447
2023-07-04 15:21:53,-4349890.278216667,-375.6802249433501
2023-07-04 15:22:14,-4334119.931647619,-375.91210401117365
2023-07-04 15:22:35,-4337784.286501983,-375.6768494487777
2023-07-04 15:22:56,-4336282.881550001,-375.7777047050103
2023-07-04 15:23:17,-4338627.115589682,-375.5232401483744
2023-07-04 15:23:38,-4327083.427736363,-375.76730319358654
2023-07-04 15:23:59,-4329965.597720237,-375.5847208438892
2023-07-04 15:24:20,-4331044.799340476,-375.8651603938731
2023-07-04 15:24:40,-4340168.018563096,-375.7602295354224
2023-07-04 15:25:00,-4322497.168238889,-375.7068100074421
2023-07-04 15:25:21,-4349417.500261111,-375.9837059932482
2023-07-04 15:25:42,-4329900.97540119,-375.73567637667855
2023-07-04 15:26:03,-4319079.278459523,-375.7710593561368
2023-07-04 15:26:23,-4328008.315557937,-375.901738298899
2023-07-04 15:26:44,-4345326.698982143,-375.9728129899706
2023-07-04 15:27:04,-4342752.278135714,-376.0235354686063
2023-07-04 15:27:25,-4325627.558820635,-375.8228753600419
2023-07-04 15:27:46,-4338611.972099206,-376.16919211090215
2023-07-04 15:28:07,-4340821.105504761,-375.9620640779243
2023-07-04 15:28:28,-4333655.636032144,-375.8081387209812
2023-07-04 15:28:49,-4330827.856429761,-375.4207530362604
2023-07-04 15:29:10,-4336931.872014286,-375.7703118340612
2023-07-04 15:29:30,-4343589.745211111,-375.67224972741934
2023-07-04 15:29:51,-4338750.583914719,-375.67315423492505
2023-07-04 15:30:11,-4330658.712711941,-375.6054915977362
2023-07-04 15:30:31,-4325113.505978571,-375.58227561327567
2023-07-04 15:30:52,-4331433.412607143,-375.53956586368207
2023-07-04 15:31:13,-4334489.973898809,-375.4279127876569
2023-07-04 15:31:33,-4338292.750214682,-375.7256294562793
2023-07-04 15:31:54,-4343472.799540476,-375.9098249486429
2023-07-04 15:32:14,-4339301.380958334,-375.8103787488541
2023-07-04 15:32:35,-4330320.498635317,-375.7138047140986
2023-07-04 15:32:55,-4332461.887221537,-375.54311795384416
2023-07-04 15:33:16,-4335356.446097619,-375.55956843478265
2023-07-04 15:33:36,-4332030.467294048,-375.61583058229166
2023-07-04 15:33:56,-4338143.959803572,-375.8063793887456
2023-07-04 15:34:17,-4349442.045166667,-375.9809558006214
2023-07-04 15:34:38,-4337558.959916666,-375.7813170955081
2023-07-04 15:34:59,-4335188.969682143,-375.7555102512652
2023-07-04 15:35:19,-4329369.384150397,-375.9228941900564
2023-07-04 15:35:40,-4338763.667316667,-376.0018962474335
2023-07-04 15:36:00,-4339914.955078572,-376.0770460805316
2023-07-04 15:36:22,-4341210.04685992,-375.8992753534648
2023-07-04 15:36:42,-4343402.990509523,-376.0405200611888
2023-07-04 15:37:03,-4341435.259630555,-375.8627519305441
2023-07-04 15:37:24,-4337448.885142857,-375.9629748886366
2023-07-04 15:37:45,-4335491.552648809,-375.791282417103
2023-07-04 15:38:06,-4337467.927285714,-375.81806795016985
2023-07-04 15:38:26,-4359593.591321429,-375.9789968134794
2023-07-04 15:38:47,-4357107.544301299,-376.1307878933567
2023-07-04 15:39:08,-4349145.942685714,-376.1389034903096
2023-07-04 15:39:28,-4349112.567825,-376.1162939861489
2023-07-04 15:39:48,-4349682.531591667,-376.07292635217925
2023-07-04 15:40:10,-4334112.77134762,-375.9226080957165
2023-07-04 15:40:30,-4331421.226811904,-375.70884244541486
2023-07-04 15:40:50,-4345177.94555,-376.075763008556
2023-07-04 15:41:10,-4331706.628535714,-375.8578875310959
2023-07-04 15:41:30,-4336850.51573254,-375.86716189768913
2023-07-04 15:41:51,-4331438.864831818,-375.7083104034897
2023-07-04 15:42:12,-4349662.539908333,-375.8986519539428
2023-07-04 15:42:33,-4345511.639148809,-375.9305589958891
2023-07-04 15:42:53,-4352448.97104881,-375.8606773954058
2023-07-04 15:43:13,-4357131.250524279,-376.0159230735552
2023-07-04 15:43:34,-4358167.620653175,-375.473617993714
2023-07-04 15:43:55,-4350429.413430159,-375.6566039422616
2023-07-04 15:44:15,-4347060.756955952,-375.8429669965558
2023-07-04 15:44:36,-4360139.0885559525,-375.9428133478735
2023-07-04 15:44:57,-4357620.600227381,-375.82139709929663
2023-07-04 15:45:17,-4349627.763539285,-375.8185876990185
2023-07-04 15:45:38,-4373207.937007142,-376.0947125229719
2023-07-04 15:45:59,-4361616.745219048,-376.0828452282339
2023-07-04 15:46:20,-4334583.060934126,-375.64106795736353
2023-07-04 15:46:41,-4342388.615705952,-375.87134112210646
2023-07-04 15:47:02,-4341971.289274603,-375.9200394276213
2023-07-04 15:47:22,-4355136.573738889,-376.0728489774515
2023-07-04 15:47:42,-4361885.926963095,-376.0611300109289
