datetime,measured_surface,measured_surface_total_mean
2023-07-04 15:12:38,-2932351.3114357144,-374.0099744595986
2023-07-04 15:12:58,-2929179.23885,-374.0513798594546
2023-07-04 15:13:19,-2923376.4005166665,-373.6856431709523
2023-07-04 15:13:39,-2926751.7068142854,-373.87317122802494
2023-07-04 15:14:00,-2919168.6365619046,-373.93422529237887
2023-07-04 15:14:20,-2924737.5058738096,-373.75556708062544
2023-07-04 15:14:41,-2931813.22365,-374.31243386857545
2023-07-04 15:15:01,-2934248.76585,-374.4723626352271
2023-07-04 15:15:22,-2927283.690765476,-374.2638486990042
2023-07-04 15:15:43,-2916996.7118619047,-374.0998496089963
2023-07-04 15:16:03,-2925321.607983333,-374.5403878513732
2023-07-04 15:16:23,-2929784.4713333333,-374.5132778457772
2023-07-04 15:16:44,-2923122.449088095,-374.36553514315193
2023-07-04 15:17:04,-2921077.0587000004,-373.3496770833333
2023-07-04 15:17:25,-2919879.374276191,-373.7660738467502
2023-07-04 15:17:45,-2925940.703559524,-373.9144875396465
2023-07-04 15:18:06,-2927317.0814571427,-373.6796701030928
2023-07-04 15:18:26,-2932820.5431000004,-374.12814440433215
2023-07-04 15:18:47,-2928415.2417,-374.0925717985239
2023-07-04 15:19:08,-2914966.3433880955,-374.15318678402696
2023-07-04 15:19:28,-2921579.7667,-373.9439199613651
2023-07-04 15:19:48,-2917572.5083238096,-373.6374134063809
2023-07-04 15:20:09,-2924089.0441547623,-374.1092412167399
2023-07-04 15:20:29,-2919887.750442857,-373.9521650592271
2023-07-04 15:20:51,-2919912.286911905,-373.44841393495307
2023-07-04 15:21:12,-2927210.235233333,-373.5518773427471
2023-07-04 15:21:32,-2919987.609066667,-373.7149920236717
2023-07-04 15:21:53,-2924964.153525,-373.8732979987088
2023-07-04 15:22:14,-2922318.6978333336,-374.3266030232256
2023-07-04 15:22:35,-2918108.530433333,-373.8323682578644
2023-07-04 15:22:56,-2916869.560038096,-373.8067670241633
2023-07-04 15:23:17,-2928954.872302381,-374.0542723687613
2023-07-04 15:23:38,-2917076.428335714,-373.8154470406984
2023-07-04 15:23:59,-2919954.57822619,-374.1279504675911
2023-07-04 15:24:20,-2919983.8841595235,-374.0035523577027
2023-07-04 15:24:40,-2926031.882004762,-374.34602325881065
2023-07-04 15:25:00,-2923034.5479190475,-374.06068353619474
2023-07-04 15:25:21,-2926511.6496,-373.9410885052307
2023-07-04 15:25:42,-2916052.3898380958,-374.00811915331656
2023-07-04 15:26:03,-2927151.024997619,-374.2644977207063
2023-07-04 15:26:23,-2927392.740714286,-374.2457439377372
2023-07-04 15:26:44,-2925583.2090166667,-373.9688086716696
2023-07-04 15:27:04,-2930698.8233000003,-374.3255736324484
2023-07-04 15:27:25,-2926186.416,-374.3756217143597
2023-07-04 15:27:46,-2924136.0561333336,-374.0560583692644
2023-07-04 15:28:07,-2916251.88725,-373.9900391119143
